Name,City,State,Enrollment,Type,Region,Adm_Rate,ACT_median,Cost,Net_Tuition,Avg_Fac_Salary,PercentFemale,PercentWhite,PercentBlack,PercentHispanic,PercentAsian,FourYearComp_Males,FourYearComp_Females,Debt_median,Salary10yr_median
Allegheny College,Meadville,PA,1735,Private,Mid East,0.6361,27,60783,17759,71046,0.529048208,0.914400024,0.048099999,0.0228,0.0153,0.627272727,0.748031496,25000,50900
Allen University,Columbia,SC,698,Private,South East,NA,NA,23677,10769,43776,0.5,0.477700005,0.465,0.065799999,0.0137,0.168674699,0.256756757,13689,23300
Alma College,Alma,MI,1396,Private,Great Lakes,0.6411,23,52252,13489,67500,0.553468208,0.915999985,0.041199999,0.0275,0.0108,0.435555556,0.663212435,20500,42200
Alvernia University,Reading,PA,2176,Private,Mid East,0.6838,20,46581,17256,66960,0.71123872,0.792099991,0.135200005,0.0704,0.0183,0.492462312,0.56587473,22700,44500
Alverno College,Milwaukee,WI,1204,Private,Great Lakes,0.6978,NA,37091,19483,52038,NA,0.733000031,0.180100002,0.0796,0.0222,NA,NA,24183,38800
American InterContinental University,Chandler,AZ,7932,Private,South West,NA,NA,17087,13805,51633,0.696345003,0.685,0.1925,0.130900002,0.031900001,0.200992556,0.20518688,9500,37300
American InterContinental University-Atlanta,Atlanta,GA,1602,Private,South East,NA,NA,20773,14565,55521,0.696345003,0.685,0.1925,0.130900002,0.031900001,0.200992556,0.20518688,9500,37300
American International College,Springfield,MA,1307,Private,New England,0.6839,19,47742,16040,63153,0.594152047,0.745199966,0.133599997,0.128199997,0.023699999,0.424528302,0.579766537,20050,46000
American Public University System,Charles Town,WV,36036,Private,South East,NA,NA,16157,7802,46233,0.500092013,NA,NA,NA,NA,0.169051661,0.106371343,9500,62400
American Sentinel University,Aurora,CO,1441,Private,Rocky Mountains,NA,NA,NA,9534,70326,0.904761905,NA,NA,NA,NA,0.357142857,0.789915966,12274,NA
American University,Washington,DC,7485,Private,Mid East,0.3154,29,64040,31310,108405,0.660954712,0.802600021,0.099799995,0.070700002,0.045799999,0.715536105,0.751560549,20500,61000
American University of Puerto Rico,Manati,PR,544,Private,Outlying Territories,NA,NA,16432,58,26505,0.555323591,0.857099991,0.056100001,0.989000015,0.0015,0.133802817,0.185454545,3850,21700
Amherst College,Amherst,MA,1855,Private,New England,0.1281,33,71300,27541,116775,0.543909348,0.756399994,0.098599997,0.114300003,0.070300002,0.842105263,0.896907216,11900,65000
Anderson University,Anderson,IN,1392,Private,Great Lakes,0.6502,22,42555,14605,56862,0.563517915,0.910899963,0.053600001,0.0252,0.0101,0.398148148,0.602564103,19500,37200
Anderson University,Anderson,SC,2685,Private,South East,0.6229,23,41431,14915,59112,0.695588235,0.804100037,0.167000008,0.021700001,0.0082,0.46473029,0.532299742,19250,35200
Andrews University,Berrien Springs,MI,1466,Private,Great Lakes,0.6554,24,38948,15761,44559,0.580270793,0.756500015,0.145699997,0.084899998,0.0322,0.443820225,0.517412935,21453,45200
Angelo State University,San Angelo,TX,5892,Public,South West,0.7324,20,18395,6236,65664,0.560703416,0.798499985,0.0527,0.277299995,0.0102,0.302222222,0.356350185,11000,40200
Anna Maria College,Paxton,MA,1131,Private,New England,0.7362,NA,51109,15013,58212,0.630265211,0.892099991,0.0355,0.061799998,0.023599999,0.428571429,0.555023923,15442,44800
Appalachian State University,Boone,NC,17265,Public,South East,0.6946,26,18972,6780,74529,0.574958814,0.835,0.116899996,0.038399999,0.015700001,0.613040397,0.698203593,15647,38800
Aquinas College,Grand Rapids,MI,1428,Private,Great Lakes,0.6905,24,41612,13038,57024,0.639669422,0.867900009,0.07,0.0496,0.0141,0.436842105,0.520833333,20500,37300
Arcadia University,Glenside,PA,2003,Private,Mid East,0.6416,24,57155,17159,71190,0.6840417,0.818300018,0.113100004,0.0452,0.031199999,0.642570281,0.680392157,22847,44100
